cust_id,name,address,ph_no,ssn,date_of_birth,acc_created_date,acc_deleted_date,is_active
1001,John Doe,123 Elm St, Springfield IL,555-01-9823,4/12/1985,1/15/2021,,TRUE
1002,Jane Smith,456 Oak Ave, Chicago IL,555-01-4412,8/22/1990,5/10/2020,,TRUE
1003,Robert Johnson,789 Pine Rd, Naperville IL,555-01-7821,11/3/1978,3/1/2019,1/10/2023,FALSE
1004,Emily Davis,321 Maple Dr, Evanston IL,,2/14/1992,7/19/2022,,TRUE
1005,Michael Brown,654 Cedar Ln, Rockford IL,555-01-3390,9/30/1983,11/12/2018,,TRUE
1006,Sarah Wilson,987 Birch St, Aurora IL,555-01-8812,,9/5/2021,12/1/2022,FALSE
1007,David Miller,147 Spruce Ct, Peoria IL,555-01-2041,6/18/1975,4/25/2017,,TRUE
1008,Jessica Taylor,258 Walnut Rd, Joliet IL,555-01-6102,12/5/1995,2/11/2023,,TRUE
1009,James Anderson,369 Ash Blvd, Elgin IL,555-01-9034,1/29/1988,10/2/2020,8/15/2021,FALSE
1010,Amanda Thomas,741 Beech Way, Waukegan IL,555-01-1182,7/17/1991,1/8/2022,,TRUE
1001,John Doe,123 Elm St, Springfield IL,555-01-9823,4/12/1985,1/15/2021,,TRUE
1012,Daniel Jackson,852 Willow Dr, Champaign IL,555-01-5543,3/25/1982,8/14/2019,,TRUE
1013,Laura White,963 Poplar St, Bloomington IL,555-01-2298,10/11/1994,4/30/2021,5/20/2023,FALSE
1014,Matthew Harris,159 Cypress Rd, Decatur IL,,5/8/1987,12/18/2020,,TRUE
1015,Olivia Martin,357 Hickory Ave, Schaumburg IL,555-01-6671,9/19/1996,9/1/2022,,TRUE
1016,Christopher Thompson,468 Magnolia Ct, Bolingbrook IL,555-01-3120,12/31/1980,2/14/2018,4/10/2020,FALSE
1017,Sophia Garcia,579 Redwood Dr, Wheaton IL,555-01-8452,3/7/1993,6/22/2021,,TRUE
1018,Andrew Martinez,680 Alder Ln, Palatine IL,555-01-9921,,11/5/2019,,TRUE
1019,Isabella Robinson,791 Chestnut St, Skokie IL,555-01-1430,8/14/1989,3/17/2020,9/30/2022,FALSE
1020,Joshua Clark,802 Sycamore Rd, Des Plaines IL,555-01-7711,1/22/1991,11/4/2022,,TRUE
1021,Mia Rodriguez,913 Elmwood Ave, Orland Park IL,555-01-5234,4/3/1997,1/20/2023,,TRUE
1022,Ethan Lewis,124 Oakwood Dr, Tinley Park IL,,6/27/1984,7/11/2018,1/5/2021,FALSE
1023,Ava Lee,235 Pinewood Rd, Oak Lawn IL,555-01-4198,11/15/1990,8/9/2021,,TRUE
1024,Alexander Walker,346 Cedarwood Ct, Berwyn IL,555-01-6832,2/28/1981,5/23/2019,,TRUE
1025,Charlotte Hall,457 Birchwood Way, Mount Prospect IL,555-01-2910,7/9/1998,4/18/2022,,TRUE
1026,William Allen,568 Maplewood Dr, Normal IL,555-01-8043,10/24/1976,9/12/2017,11/1/2019,FALSE
1003,Robert Johnson,789 Pine Rd, Naperville IL,555-01-7821,11/3/1978,3/1/2019,1/10/2023,FALSE
1028,Harper Young,780 Linden St, Belleville IL,555-01-1357,12/12/1993,12/3/2021,,TRUE
1029,Benjamin Hernandez,891 Laurel Rd, Elmhurst IL,555-01-3691,,1/28/2020,,TRUE
1030,Evelyn King,902 Sprucewood Ave, DeKalb IL,555-01-5820,4/19/1986,10/5/2018,3/15/2022,FALSE
1031,Lucas Wright,113 Ashwood Ct, Moline IL,555-01-7142,8/8/1994,6/30/2022,,TRUE
1032,Abigail Lopez,224 Beechwood Dr, Rock Island IL,,3/16/1991,3/12/2021,,TRUE
1033,Logan Scott,335 Cottonwood Rd, Lombard IL,555-01-9428,5/21/1983,12/1/2019,7/22/2021,FALSE
1034,Emily Davis,321 Maple Dr, Evanston IL,,2/14/1992,7/19/2022,,TRUE
1035,Jackson Green,557 Redwood Way, Glenview IL,555-01-8172,10/7/1989,8/25/2020,,TRUE
1036,Elizabeth Adams,668 Willowwood Ln, Quincy IL,555-01-4091,1/30/1979,12/14/2017,2/28/2020,FALSE
1037,Aiden Baker,779 Poplarwood St, Rockford IL,555-01-6315,,8/10/2022,,TRUE
1038,Sofia Gonzalez,880 Hickorywood Dr, Naperville IL,555-01-2784,6/4/1996,3/1/2023,,TRUE
1039,Samuel Nelson,991 Magnolia Way, Chicago IL,555-01-5029,11/27/1987,4/16/2019,6/18/2022,FALSE
1040,Avery Carter,102 Alderwood Rd, Peoria IL,555-01-9382,2/9/1993,10/22/2021,,TRUE
1041,David Miller,147 Spruce Ct, Peoria IL,555-01-2041,6/18/1975,4/25/2017,,TRUE
1042,Scarlett Mitchell,324 Sycamorewood Ct, Joliet IL,555-01-3729,9/14/1990,6/11/2020,4/5/2023,FALSE
1043,Henry Perez,435 Chestnutwood Dr, Elgin IL,555-01-8204,12/2/1982,8/29/2018,,TRUE
1044,Victoria Roberts,546 Elmwood Way, Waukegan IL,,5/25/1995,2/17/2022,,TRUE
1045,Sebastian Turner,657 Oakwood Ave, Aurora IL,555-01-6941,7/31/1986,9/8/2019,11/19/2021,FALSE
1046,Grace Phillips,768 Pinewood Dr, Springfield IL,555-01-1583,10/18/1992,5/4/2021,,TRUE
1047,Jack Campbell,879 Birchwood Ct, Champaign IL,555-01-4820,,11/12/2020,,TRUE
1048,Chloe Parker,980 Cedarwood Ln, Bloomington IL,555-01-7392,3/3/1988,5/21/2018,8/14/2022,FALSE
1049,Owen Evans,101 Maplewood St, Decatur IL,555-01-2654,1/19/1997,1/5/2023,,TRUE
1050,Camila Edwards,212 Sprucewood Rd, Schaumburg IL,555-01-9137,8/26/1984,2/17/2019,,TRUE
